id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2510,U,0.007287499960511923,0.4094749987125397,0.01924999989569187,-0.010294035077095032,0.7244064211845398,0.6508798003196716,8
2511,V,-0.023649999871850014,0.1303499937057495,0.005362499970942736,0.07311365008354187,0.6716820001602173,0.7249111533164978,8
2512,G,0.004124999977648258,0.1069749966263771,-0.047849997878074646,0.09442062675952911,0.684943437576294,0.7187928557395935,8
2513,X,0.06379999965429306,-0.02199999988079071,-0.0170499999076128,0.05189845710992813,0.6868859529495239,0.7483748197555542,8
2514,C,-0.04592499881982803,0.023787500336766243,0.0340999998152256,0.03456838056445122,0.6939219832420349,0.7451015710830688,8
2515,M,0.12333749979734421,0.05472499877214432,0.012787500396370888,0.009177446365356445,0.6956504583358765,0.7093095183372498,8
2516,C,0.16279999911785126,0.06641250103712082,-0.013749999925494194,0.08677275478839874,0.5799075365066528,0.8440191149711609,8
2517,H,0.007287499960511923,0.045099999755620956,0.014987500384449959,-0.012649579904973507,0.6192787885665894,0.7781403660774231,8
2518,D,-0.05348749831318855,-0.08057499676942825,0.025712499395012856,0.05679309740662575,0.6336567997932434,0.7503020763397217,8
2519,A,-0.005499999970197678,-0.1508374959230423,-0.012649999931454659,-0.019272636622190475,0.6009238958358765,0.7946597337722778,8
2520,Q,0.22357499599456787,0.002612499985843897,0.07259999960660934,0.013567324727773666,0.6042889356613159,0.8345357179641724,8
2521,O,-0.02681249938905239,-0.04963750019669533,-0.036024998873472214,-0.0010248147882521152,0.6424212455749512,0.7529636025428772,8
2522,H,-0.12484999746084213,-0.07631249725818634,0.033137500286102295,-0.010294035077095032,0.6543518900871277,0.7636706233024597,8
2523,D,0.1190750002861023,0.0919874981045723,0.06187500059604645,0.09708208590745926,0.6189728379249573,0.7871189713478088,8
2524,F,0.14354999363422394,0.05156249925494194,-0.04455000162124634,-0.09717386215925217,0.6509868502616882,0.71614670753479,8
2525,U,0.24584999680519104,0.5468375086784363,0.10339999943971634,-0.02783825248479843,0.659246563911438,0.7112520933151245,8
2526,V,-0.02461249940097332,0.07397499680519104,0.028875000774860382,-0.027119355276226997,0.6851422190666199,0.7573381662368774,8
2527,J,-0.10779999941587448,-0.007012499962002039,0.03959999978542328,-0.003670978592708707,0.6382455229759216,0.7349146008491516,8
2528,K,-0.13859999179840088,-0.13378749787807465,-0.04455000162124634,-0.01999153569340706,0.6562944650650024,0.7403140068054199,8
2529,V,0.047849997878074646,-0.15193749964237213,-0.02227500081062317,0.06505279242992401,0.6357981562614441,0.8063915967941284,8
2530,R,0.09033749997615814,0.0004124999977648258,-0.005224999971687794,0.05506467819213867,0.6243722438812256,0.7874249219894409,8
2531,Q,0.03396249935030937,-0.13805000483989716,0.089649997651577,-0.06710243225097656,0.6329378485679626,0.8047549724578857,8
2532,S,0.06696250289678574,0.0057749999687075615,-0.004124999977648258,0.041910335421562195,0.6350792646408081,0.7671273946762085,8
2533,I,-0.07479999959468842,-0.23608750104904175,0.05238749831914902,0.05608949065208435,0.6768825650215149,0.7704924941062927,8
2534,V,0.11481250077486038,0.020624998956918716,-0.012649999931454659,-0.02100105583667755,0.6250911355018616,0.7915088534355164,8
2535,H,0.036024998873472214,0.04619999974966049,-0.03506249934434891,-0.07250182330608368,0.6504820585250854,0.7405128479003906,8
2536,W,0.06366249918937683,0.04729999974370003,-0.012649999931454659,0.01651940308511257,0.6490442752838135,0.75541090965271,8
2537,N,0.036024998873472214,0.15592500567436218,-0.008387500420212746,-0.005399397574365139,0.603875994682312,0.8020017147064209,8
2538,W,0.09569999575614929,-0.12209999561309814,0.007562499959021807,0.011425920762121677,0.6212060451507568,0.7969082593917847,8
2539,O,-0.08112499862909317,-0.047575000673532486,0.005499999970197678,-0.025589779019355774,0.6587417721748352,0.7646801471710205,8
2540,W,-0.06517499685287476,0.05898749828338623,-0.05843750014901161,0.006225367542356253,0.6475147008895874,0.8086400628089905,8
2541,B,0.18301250040531158,0.15482500195503235,0.05664999783039093,0.003365063341334462,0.6457862854003906,0.7634564638137817,8
2542,I,0.05197500064969063,-0.024062499403953552,-0.06159999966621399,-0.045168329030275345,0.580121636390686,0.7461263537406921,8
2543,B,-0.07906249910593033,-0.05706249922513962,0.008662499487400055,-0.027333494275808334,0.6060173511505127,0.7988507747650146,8
2544,M,0.1381874978542328,0.26358750462532043,-0.018975000828504562,0.03773459792137146,0.5728715062141418,0.7905911207199097,8
2545,A,-0.06091250106692314,-0.10078749805688858,-0.012649999931454659,-0.008060856722295284,0.522502601146698,0.8333120942115784,8
2546,G,-0.26124998927116394,-0.36822500824928284,-0.025437500327825546,0.0037780485581606627,0.5948055982589722,0.8007780909538269,8
2547,U,0.10312499850988388,0.10161250084638596,0.03849999979138374,0.029168983921408653,0.611630916595459,0.7646801471710205,8
2548,O,0.09350000321865082,0.04193750023841858,-0.01691249944269657,0.031402163207530975,0.6040747761726379,0.802307665348053,8
